ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644347640926	002d92fb291e45520800c105009b0b002c0f005711002c1400a21600621800331a00fa1b00711d00cf1e002b20006b21008222008823008724007125004f2600282700fe2700b82800472900de2900872a001f2b00a52b00212c00912c00f32c00502d00a82d00f02d001d2e002e2e00322e003c2e004a2e005d2e006e2e006c2e00732e008b2e00962e00a52e00bf2e00ba2e009e2e009e2e00a02e00942e008f2e00752e004a2e00352e00222e00fe2d00e12d00bd2d008b2d00632d002e2d00f82c00d12c00a22c005a2c001f2c00ed2b00b12b007c2b00462b00fc2a00b42a007b2a00	1644347640680	63	1644347640283	45	99
1644347641507	0062ff604b1e455208003d2a00f82900b729007929002f2900dc28009c28005928001b2800e62700722700fd2600d926009926001d2600d025009725003a2500e92400a92400582400072400c423007023001d2300da22009022003d2200f32100a221005121000b2100bf20006c2000222000e11f00931f00381f00ec1e00a41e005d1e00131e00c41d007d1d00351d00e41c009f1c005f1c000d1c00c11b007a1b00301b00ef1a00bd1a00821a00461a00061a00b219005a19001a1900d218007718002e1800f21700b217007117003a1700fc1600bc1600ab1600331700161800a61700	1644347641651	63	1644347640301	45	99
1644347642044	00976cc66c1e45520800111500de12003e13007d1400a614004e1400231400e91300a713007c13004e13001f1300f41200b312006712003f12001b1200e41100b711008c11005a11002f1100061100db1000b310009110006910004010001a1000fb0f00df0f00bb0f008e0f00650f003c0f000a0f00cc0e00800e00280e00d20d00880d00430d00030d00ce0c00a10c00760c004d0c002c0c000d0c00e90b00c80b00a40b00850b00660b00470b00260b00040b00e50a00c40a00a00a007a0a00590a003a0a001b0a00f70900d80900b909009509007609005c09003d09001b0900f80800	1644347642675	62	1644347640308	45	99
1644347642582	0044292c8e1e45520800db0800c10800a908008c08007208005a08004008002608000e0800f40700ce0700b107009e07008607006a07005407003a07002207000a0700f20600dd0600cc0600b706009c06008906007906006606005306004206002f0600190600090600fa0500e70500d70500c60500c10500c10500c10500b005008d05006b05005b0500450500240500110500070500f90400e30400d50400c90400bb0400c404002b0500230600d80600850500cd0200f701006603005b04002904001904003c04002004000804000f0400060400f70300f70300f30300e70300e20300	1644347643651	62	1644347640314	45	99
1644347643214	0037be91af1e45520800db0300d60300d10300cc0300ca0300be0300b00300a40300a60300a90300a10300a60300ad0300ad0300ab0300ad0300b50300b003009803007903005003001a0300e00200b102008802006702004f02004102003702002902001f02001802001302000e02000e02000a0200050200000200f90100f20100e80100df0100d50100d30100ce0100c20100b90100af0100aa0100b10100b40100a80100a30100a101009701009001008701007f01007d01007b01007801007801007b01007601006f01006c01007101007101006c0100680100650100630100630100	1644347644673	63	1644347640317	45	99
1644347643701	006c2bf7d01e455208006001005c01005901005401004d01004b01004d01004d01004d01004901004101004101004601004401003f01003501002701002001002001002001001e01001e01001901001601001601001601001401001201000d01000b01000b0100080100010100fc0000fc0000fa0000f30000f30000fc00000601000d0100140100190100060100ee0000ec0000e70000d10000c50000c30000be0000bc0000b90000b70000c30000030100cc0100d0020083020039000070feff2fffff930000b900008a0000b20000bc0000a60000b50000c10000b70000b70000c10000	1644347645648	61	1644347640322	44	99
1644347644286	00a1985cf21e45520800c10000c10000c80000ca0000ca0000cd0000ca0000c30000ca0000d10000d80000e40000ee0000f500000301001401001e01002701002e01003301002e01001b0100030100e40000b900008f00006800004900003400002a00002300001c00001500001700001e00001c00001e00002300002800002a00002f00002d00002800002600002600002300002300002800002a00002a00002600001e00001e00002100001c00001700001000000e00001300001300001300001500001700001500001300001700001a00001c00001e00001a00001a00001c00001c0000	1644347646675	60	1644347640340	44	99
1644347644870	000c7dc2131f455208001c00001c00001c00001c00001c00002100002300002100001e00001700000b00000e00001700001700001000000b00000e00001500001700001500001500001700001500001700002600003400004500004e00003d00002600002800002600001300000b00001000000900000700001000001300001500004e00000b01002202000e0200ebffff00feff77feffcaffff1a0000f7ffff1300002800001e00002600002f00002a00002f00003900003d00004200004500004700004700004e00005a00005f00005f00006400007200007b0000850000930000a40000	1644347647747	60	1644347640345	44	99
1644347645453	0041ea27351f45520800b20000bc0000c80000d10000d40000d10000c50000a900008500005c00002f0000090000e9ffffc7ffffbbffffbbffffb7ffffb7ffffb9ffffbeffffc3ffffcaffffd1ffffd3ffffd6ffffd8ffffd8ffffd3ffffd1ffffd6ffffd8ffffd8ffffdaffffdaffffdaffffddffffdaffffd3ffffd1ffffd3ffffd6ffffd8ffffd8ffffdaffffe2fffff2ffff020000100000130000000000f0fffff2fffff0ffffdfffffd3ffffd8ffffddffffd8ffffd6ffffd8ffffd6ffffddffff100000c80000f40100070200d8ffffbbfdff1cfeff82fffff0ffffd1ffffe9ffff	1644347648670	61	1644347640357	44	99
1644347645944	0076578d561f45520800fefffff5fffffcffff0700000700000900001000001700001c00001a00001700001e00002a00002d00003400004000004500004c00005a00006400006d00007900008a00009300009d0000a40000a600009f00008700005c00002a0000020000e2ffffc7ffffb2ffffa4ffff9fffffa1ffffa4ffffa8ffffabffffabffffadffffb7ffffbeffffc3ffffc5ffffcaffffcaffffceffffd3ffffd3ffffd6ffffd6ffffd1ffffd1ffffd6ffffd6ffffd6ffffd8ffffd6ffffd1ffffd3ffffd6ffffd8ffffd8ffffd8ffffd8ffffdaffffddffffdfffffe2ffffdfffff	1644347649647	63	1644347640361	44	99
1644347646532	00abc4f2771f45520800e2fffff0ffff020000130000130000fcffffe4ffffdfffffdfffffd3ffffcaffffccffffceffffc7ffffc7ffffd1ffffd6ffffebffff6b0000890100390200c3000026feff9cfdff1cfffff0ffffc0ffffc7fffff5ffffe9ffffe6fffff9fffffcfffffcffff0400000900000b00001300001700001a00001c00001e00002600002a00002d00003400004200004900005500006800007400007e00008500008a00008f00008f00007e00006100003900000b0000e4ffffc5ffffafffff9fffff93ffff93ffff98ffff9affff9cffffa1ffffa6ffffa6ffffabffff	1644347650767	64	1644347640369	44	99
1644347647064	0016a958991f45520800afffffb4ffffb7ffffb9ffffb9ffffb7ffffb4ffffb9ffffbbffffafffffa1ffffa1ffffa6ffffa4ffffa8ffffa8ffffa6ffffa6ffffadffffb2ffffb2ffffb4ffffb4ffffb7ffffbbffffbeffffc0ffffc3ffffc3ffffc3ffffc5ffffcaffffcaffffceffffceffffceffffd1ffffd3ffffd3ffffd6ffffd6ffffd6ffffd3ffffd6ffffd3ffffd3ffffd6ffffd8ffffd6ffffd8ffffddffffdaffffdaffffdaffffdfffffebfffffcffff0900000e0000feffffedffffedffffebffffdaffffd3ffffdaffffddffffd8ffffdaffffdfffffe2fffffeffff7b0000	1644347651646	64	1644347640380	44	99
1644347647700	004b16beba1f455208008701000c0200740000fbfdffc2fdff52ffffebffffa1ffffb9ffffe4ffffceffffd3ffffe9ffffe6ffffe6fffff0fffff5fffff9ffff0000000200000400000b00001300001500001a00002300002a00003200003d00004900005800006600007200007900008300008500008500008000007000004e0000260000000000daffffbbffffa4ffff90ffff89ffff8cffff8effff90ffff90ffff90ffff95ffff9cffffa1ffffa4ffffa8ffffabffffabffffb2ffffb4ffffb4ffffb7ffffb4ffffafffffabffffabffffabffffabffffabffffabffffadffffafffff	1644347652669	65	1644347640392	43	99
1644347648236	00b6fa23dc1f45520800b4ffffb4ffffb7ffffb9ffffbbffffbeffffc0ffffc3ffffc3ffffbeffffb2ffffb2ffffbeffffc3ffffceffffddffffdfffffddffffd1ffffc3ffffc0ffffc0ffffb4ffffa6ffffa8ffffadffffa8ffffa6ffffadffffb2ffffb7ffffc0ffffebffff8f0000ad0100da0100e6ffffbffdfff4fdff68ffffe6ffffbbffffd1ffffedffffdfffffe6fffff9fffff7fffff7fffffeffff0200000700000e00001300001500001700001a00001700001a00002100002800003200003d00004e00005f00007000007b00008300008700008a00008a00007900005a0000	1644347653646	66	1644347640404	43	99
1644347648772	00eb6789fd1f45520800320000020000daffffb9ffffa4ffff98ffff90ffff8cffff89ffff8effff93ffff95ffff95ffff90ffff93ffff9affff9cffff98ffff9cffffa4ffffa4ffffa6ffffa8ffffabffffabffffa8ffffa8ffffa8ffffa8ffffa8ffffa6ffffa4ffffa4ffffa6ffffa8ffffabffffafffffafffffafffffafffffb2ffffb9ffffc7ffffd8ffffe6ffffebffffdaffffccffffccffffc3ffffa8ffff9affffa1ffffa8ffffa8ffffabffffafffffb2ffffb4ffffc0ffffedffff9a0000c70100e40100beffff9cfdfff9fdff63ffffdaffffc0ffffd6ffffebffffe2ffff	1644347654718	66	1644347640413	43	99
1644347649307	0020d5ee1e2045520800e9fffff7fffffcfffffeffff0200000700000900000e00001300001000000900000b00001500001e00002600002f00003b00004500005300006400007200008000008700008c00008c0000870000740000550000280000f9ffffd1ffffb7ffffa4ffff98ffff93ffff8effff8effff95ffff9cffff9fffff9fffff9fffff9fffff9affff98ffff9fffffa6ffffa6ffffa6ffffa8ffffa8ffffa6ffffa8ffffa4ffffa1ffffa4ffffa8ffffabffffadffffafffffadffffadffffb2ffffb4ffffb4ffffb7ffffb7ffffb7ffffbbffffc0ffffc5ffffc3ffffc0ffff	1644347655646	64	1644347640427	43	99
1644347649892	00554254402045520800beffffbeffffc3ffffc5ffffccffffdaffffe6ffffedffffedffffddffffd3ffffd8ffffd8ffffccffffc3ffffc7ffffceffffceffffceffffd1ffffd3ffffd8ffffebffff4900004601003c02004d0100acfeff84fdffcffefff5ffffdfffffc7fffff9fffff9ffffe9fffff5fffffcfffff9fffffeffff0400000700000e00001700001c00001e00002600002a00003200003b00004200004700005300005f00006d00007b00008700008c00008f00008f00008f00008700007200004c00001a0000edffffceffffb4ffffa1ffff98ffff90ffff8cffff8effff	1644347656668	64	1644347640449	43	99
1644347650430	00c026ba61204552080095ffff98ffff9affff9cffff9cffff9fffffa4ffffa6ffffa4ffff9fffff95ffff93ffff9affff9cffff9cffff9fffff9cffff9cffffa1ffffa4ffffa4ffffa6ffffa4ffffa4ffffa6ffffabffffadffffadffffa6ffffa1ffffa8ffffadffffadffffafffffb2ffffb2ffffb7ffffb9ffffb9ffffbeffffcaffffccffffcaffffceffffd3ffffd3ffffd6ffffd6ffffd8ffffdaffffddffffdaffffd8ffffddffffe2ffffdfffffdfffffe4ffffe4ffffe4ffffe6ffffe6ffffe9ffffedffffebffffedfffff0ffffedffffedfffff0fffff0fffff0fffff2ffff	1644347657691	63	1644347640454	43	99
1644347651013	00f5931f832045520800f2fffff2fffff2fffff0fffff2fffff5fffff0ffffe4ffffe2ffffe6ffffe9ffffebffffedffffebffffe6ffffedffff0000001000001a00000e0000f0ffffe4ffffe9ffffddffffd1ffffd3ffffd6ffffd6ffffd8ffffddffffe4ffff0400008a00009c010022020080000005feffd0fdff5efffffcffffbeffffd8fffffeffffedfffff0fffffefffffcfffffcffff0700000b00000b00000e00001300001700001e00002300002800002a00002f00003400003900004200004900005100005a00006600007200007e00008300008500008000007400005a0000	1644347658666	62	1644347640456	43	99
1644347651599	00e62885a420455208003600000e0000e6ffffc5ffffabffff98ffff8effff8cffff8effff8cffff85ffff82ffff8effff90ffff8cffff90ffff98ffff9affff9cffffa1ffffa4ffffa8ffffabffffa8ffffa6ffffa8ffffadffffafffffb2ffffafffffb2ffffb4ffffb4ffffb7ffffb9ffffb9ffffb7ffffb4ffffb4ffffb7ffffbbffffbeffffc0ffffc3ffffc5ffffc5ffffccffffccffffc7ffffc7ffffcaffffccffffceffffd1ffffd1ffffd1ffffd1ffffceffffd3ffffd6ffffd3ffffd3ffffd3ffffd6ffffd6ffffd8ffffd8ffffd6ffffd3ffffd3ffffd3ffffd6ffffd6ffff	1644347659689	62	1644347640459	43	99
1644347652134	0095e5eac52045520800ceffffccffffceffffd1ffffd1ffffd6ffffd3ffffc7ffffc7ffffdaffffebfffff9ffff000000ebffffd1ffffd3ffffd6ffffc5ffffc0ffffc3ffffbbffffb9ffffbeffffc3ffffc7fffff0ffff9a0000c20100e40100ccffffa0fdfff2fdff61ffffd1ffffb2ffffc7ffffddffffd8ffffe6fffff0ffffedfffff5ffff0200000400000900001500001a00001e00002100002600002f00003400003900004200004c00005300005f00006d00007900008700008f00009100009600009a00008f0000790000550000260000f9ffffd6ffffb9ffffa4ffff90ffff	1644347660713	62	1644347640470	43	99
