ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644348096647	00479afe458845520800070b00290f005e1100331400d61600a218006f1a003d1c00bd1d001c1f00752000b02100c92200d22300d12400bb25008a26005a27001b2800c42800692900062a008c2a00142b00972b00022c00692c00cf2c002a2d00822d00c72d00fe2d003c2e00732e009b2e00c12e00f12e00152f00282f00392f00472f00532f00642f006b2f00662f00582f004c2f00402f00312f00232f00102f00ea2e00d22e00d02e00c62e00a22e00642e001f2e00e82d00ad2d00782d00602d002c2d00ca2c00882c00612c00472c00b72c00b92d00a32d00302b00da28002d2900	1644348096649	62	1644348096007	53	94
1644348097280	007c0764678845520800442a00202a00bc29009629004c2900f92800b628007f2800592800fa27006f27002c2700ff2600b026006726001f2600ce2500892500462500082500cc24007724001c2400de2300aa23006e23002e2300e82200a122005222000b2200c12100642100f420007c2000fe1f00821f00101f00ab1e004e1e00fb1d00a51d00561d00111d00ca1c007b1c003d1c00f81b00a91b00671b00261b00e31a00a51a00651a00121a00b91900741900341900f31800b11800671800221800e41700a117005e1700201700e016009f1600611600211600e31500aa15006c1500	1644348097672	62	1644348096011	53	94
1644348097770	00e7ebc98888455208002e1500f41400b914007d1400441400121400e51300bf13009813005a13000e1300d212009c12005212000d1200d81100a411007b11004b1100ff1000c11000a410008110009910007911006012002f1100530e00450d00630e000f0f00c80e009f0e009a0e00680e003b0e00250e00ff0d00d00d00ae0d008a0d00600d00430d00240d00f90c00d50c00c00c009c0c00730c005c0c00460c00250c00120c00080c00fa0b00e20b00cd0b00ba0b009d0b007e0b00530b00100b00ba0a00600a000a0a00c20900840900500900270900040900e20800c60800ae0800	1644348098641	62	1644348096020	52	94
1644348098306	001c592faa88455208009608008008006b0800510800390800260800100800f90700e30700c40700a007008b07007807006007004b0700350700180700010700ee0600da0600c70600b406009c06008906007606006306005306004706003106001906000b0600fd0500ea0500d70500c80500b505009d05008d05008105007005005605004305003405002405001805000c0500fe0400ed0400dc0400d00400c40400b40400a804009c04008d04007d04007104006704005b04004d04003f04003304002904001b04000f0400060400f70300eb0300dd0300d10300c50300be0300b00300	1644348099662	63	1644348096028	52	94
1644348098887	00873d95cb88455208009f03009103008a03008003007403006103004c03004203003d03003103002503002103001e03002d0300360300250300090300fb0200f10200d90200bf0200ba0200b80200a702009e02009902009b0200fd02000a0400d704008a0300f50000740000dc01006702001a02003202005402003502003502004302003c02003702003c02003902003702003702003702003702003c02003702003702003c02003e02004102004a02005102005602005b02006202006e02007502007502007502007002006202004a0200290200f40100bb01008e01006a0100500100	1644348100688	63	1644348096031	51	94
1644348099422	00bcaafaec88455208004101003501002a01002701002501002501002501002201001e0100140100120100140100140100160100190100120100080100080100080100060100ff0000fc0000f70000f00000ec0000e40000e20000e20000dd0000db0000e00000e20000dd0000db0000d80000d60000d60000d80000d60000d10000ca0000cd0000cf0000ca0000c80000cd0000c80000c30000c10000be0000bc0000bc0000bc0000b70000b90000b70000b50000b50000b50000b00000ab0000ab0000a90000a40000a200009f00009a00009a00009d00009a00009d00009f0000980000	1644348101664	63	1644348096033	51	94
1644348100011	00278f600e89455208009300009800009800009300008f00008c00008500008300008000007b00007b00007e00007b00007b00007e00007e00007e00007700006b0000700000770000790000870000a20000a200008c00008000008000007400006800006b00007000006b00006800006b00007b0000e70000f70100c102007b010004ffff96fefff7ffff7e00003b00005500007e00006600006800008000007b00007700008500008c00008c0000930000980000980000a20000ab0000ae0000b20000b50000b90000cd0000e40000e90000ee00000101000f01001b01002a01001e0100	1644348102686	64	1644348096045	50	94
1644348100595	005cfcc52f89455208000d01000b0100fc0000d40000a40000720000510000360000170000f7ffffe9ffffe9ffffebffffebfffff0fffff2fffff7ffff0000000400000700000e00001300001500001a00002100001c00001500001a00002300002300001e00001a00001700001c00001c00001a00001500001300001a00001e00001300000e00001700001c00001a00001500001a00001c00001c00001c00001c00002100002800002300002100002300001e00001c00002300002300001e00001e00001a00000e00000b0000150000170000150000150000170000130000130000170000	1644348103659	62	1644348096054	50	94
1644348101177	0091692b518945520800150000150000210000230000100000fefffffeffff0400000700000700000e00000b0000020000f7fffff9fffffeffff0400000b0000040000feffff0900000e0000040000feffff0000000400000700000700000200000b00002100002f00002f00002300001700000b0000000000fcffff020000020000fcffff0200001a00007b00007f0100540200310100cdfeff3bfeff87ffff230000e9fffff7ffff2300001500000b00001300001c00002600002300002800003400003200003600004900005100004500004500004e00005800005f0000680000770000	1644348104683	61	1644348096066	50	94
1644348101666	00fc4d91728945520800850000910000a20000b50000be0000c10000c80000c80000bc0000ab00008a00005800002a0000020000ddffffb7ffff98ffff93ffff9affff98ffff9cffffa6ffffa8ffffabffffb2ffffb4ffffb4ffffc0ffffcaffffc7ffffcaffffd1ffffd3ffffd3ffffd6ffffd6ffffd6ffffdaffffddffffdaffffd8ffffd6ffffd6ffffdaffffe2ffffddffffd6ffffd6ffffe2ffffe4ffffe2ffffe2ffffe2ffffe2ffffe4ffffe4ffffebffff0200001700001a00000e0000fcfffff5fffff5fffff0ffffdfffffd3ffffd8ffffdfffffdaffffddffffe9ffffe9ffff	1644348105659	61	1644348096078	50	94
