ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644427246653	0092a4d8b9e244520800100000100000070000100000210000210000070000f5fffffeffff000000feffff0400000b00000b00000900000b00001a00002800002f00002a00002800002100001c00002100002100001700002100003b00003600003200005d0000fa00007602004504002e040001010009feff6afeffc7ffffc0ffffa6fffffeffff090000feffff2100002f00002a00003e00005100005500005f00006100006b00008c0000ae0000cd0000f600001701002a01003b0100360100190100ff0000e70000bc00008800005500002f0000130000f9ffffebffffe9ffffedffff	1644427246698	100	1644427246441	55	97
1644427247191	00059945dbe244520800f7ffff090000100000f7ffffe9fffffeffff0e00001000000e0000040000f9ffffebffffd3ffffcaffffd1ffffd3ffffd3ffffdaffffe6fffff5fffff9fffff2ffffebfffff5ffff020000fefffff9fffff9ffffedffffdfffffe9fffff7fffffcffff040000150000260000450000cf0000570200560400940400a1010057feff53feffbeffffccffff9ffffff9ffff090000f2ffff0900001c00001c00002300002a00003900005100006400006b0000790000980000bf0000e500000b01002101002101001701001701000b0100e00000b300008f0000610000	1644427247776	101	1644427246454	53	97
1644427247777	00ac04b3fce2445208002d0000070000f7fffff0ffffe9ffffedffffebffffddffffe6fffff2fffff2fffffeffff020000fcffff0400000900000400000b00001300001000001500002300002600001a0000070000fcffff020000000000edffffedfffffcffff0900001500002300002a00001c00000400000400000400000000000e00001a0000130000150000280000400000ab0000010200f40300970400330200b7feff14feff89ffffe9ffffb2ffff0200001f0000f7ffff1000003b00003900002d0000470000660000750000850000a20000bc0000d90000f60000120100360100	1644427248673	101	1644427246464	52	97
1644427248407	0023f91f1ee3445208005a01006801005c0100530100400100100100e70000c100008000002f0000feffff000000000000ddffffc5ffffd1ffffe6ffffe1ffffd3ffffe4fffff5fffffcffff020000f7ffffedffffedffffe4ffffdaffffddffffd1ffffd1ffffe1ffffe4ffffe6ffff0000000e00000200000700001500001a00002600002f00002100000b00000200000400000e00000900000900001f00002800002f0000700000610100460300f10400f40300390000eefdfff5feffedffffadffffd1ffff2100000b00000700002a00003900004000004500004e0000610000720000	1644427249708	100	1644427246475	50	97
1644427248902	0052158d3fe3445208007e0000940000ab0000cb0000f100001701003b01004e01004c01003d01002c01000d0100de0000a000006d00004c0000280000000000e4ffffd3ffffceffffd6ffffdaffffd6ffffd8ffffedffff020000feffff020000130000090000f9fffff5fffff0fffff0fffffcfffffcfffff7fffffcffff000000f9fffffcffff000000fcfffff7ffff0b00002600001a0000000000feffff0700000200000700001000000e00000e00002100003600006600003801000a0300c604001f04009d00000dfeffd1feffe9ffffb4ffffc5ffff1c0000090000feffff230000	1644427250654	99	1644427246486	48	97
1644427249442	003f59fa60e3445208002a00002d00004000003900003600005a00006b00006400007200008a0000a00000c80000e70000e500001e01006d0100340100d40000bf00009800004c00002a00000b0000ccffffb9ffffbeffffabffffafffffd8ffffe4ffffdfffffe9fffff2fffff5fffff9fffff7fffff2fffff5fffff7fffff5fffff0fffff9fffff9fffff0fffff5fffffcffff0000000400000900000700000900002100002f00002600001700001700001700001000001300001c00002100002800002d0000450000e200007d02004f04005604007601006ffeff87feffceffffceffff	1644427251733	99	1644427246497	46	97
1644427250026	00b24d6782e344520800b6ffff100000150000f9ffff1000002100002300002600002800002f00003b00004c00005f00007900009d0000bf0000d90000f10000060100100100150100120100f80000cf0000a70000790000420000150000f7ffffd8ffffc5ffffc7ffffd1ffffddfffff2ffff000000f9fffffcffff0e00001a00001700001300000700000400000b0000070000020000070000020000feffff0b00001700001c00002f00003600003400004700005100004a00004a00004700004200004500004000003e00005100005800004e00005a0000a90000be0100c70300370500	1644427252679	100	1644427246509	43	97
1644427250566	002542d4a3e344520800aa0300c2ffffe5fdff25ffffedffffaffffff9ffff3e00001500000700001a00002100003200004200004500005300006b00007700007c0000910000ba0000db0000ec00001001003d01004901002c0100060100ea0000c600008c0000510000230000f9ffffd3ffffbbffffb9ffffb9ffffbeffffc5ffffceffffdafffff0ffff0400001000000e00000700000700000b00001700001a00000700000000000e00000b0000020000f9fffff0fffff9ffff0b00000e00000900001000001f00001300000b00001700001c00001f00002800002d00004000008a0000	1644427253672	100	1644427246521	41	97
1644427251107	00ccad41c5e344520800680100180300940400c2030069000038feff16ffff040000c2ffffd3ffff1f0000070000fcffff1c00001c00001a00002f00003e00004700005300005f00007000008f0000b30000d900000901002801003101003601002f0100150100f30000d20000a900006b00003200000b0000edffffd6ffffcaffffceffffdaffffe4ffffe9fffffcffff020000f7fffffeffff0700000400000b00000e0000020000feffff000000f5ffffebfffff5ffff0200000b00000700000000001500002d00002f00002d00002d00002100001700001f00002d00002f00002d0000	1644427254658	101	1644427246521	39	97
1644427251737	0043a2aee6e344520800390000470000530000ae0000e70100ce0300c40400d302002cffff06feff6cffffebffff9cffffe1ffff090000e4ffff0000002d00002a00002300002f00004000004700004a00005d0000790000830000910000b70000db0000f30000ff0000ff0000ee0000db0000cd0000b300008000005100003b0000230000f7ffffd8ffffddffffedfffff0ffffe9ffffebfffff5fffff9fffff2fffff0fffff7fffffeffff020000020000fefffffefffffcffff0200001000001700001300001500001c00001c00001f00002a00002f00002100001500001300000e0000	1644427255694	102	1644427246531	37	97
