ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644406099123	00e486be0c9c4852080094ffff240000dfffff0700003900001a00001a00002d00002800003000004000004500004c00005600006000006c00007800008400008d0000990000aa0000c20000da0000f700001601003601005a01007901008f01009b0100a001009101005f01000d0100ad0000560000180000f0ffffd8ffffccffffc7ffffc7ffffc9ffffceffffd3ffffd8ffffdcffffe1ffffe6ffffedfffff7fffffcffff0000000700000c00001300001500001500001c00002100001f0000210000240000240000210000210000260000260000280000280000240000210000240000	1644406099754	68	1644406098858	34	97
1644406099754	008ff22b2e9c485208002800002b00002b00002b00002100001f00002800002b00002400002400002800002800002d00002d00002800003000003900003700003200003200002d00002d00003200003000003000003700003700003400003700003e00004300004c00005d0000a30000a401004e03004f0400060300070000a9feffa3ffff340000e6ffff0200003400001c00001f00003c00003c00003c00004a00005100005600006000006900007100007a00008100008d00009c0000ad0000c00000d10000e20000fa00002001004201005c0100740100800100870100830100610100	1644406100742	68	1644406098868	36	97
1644406100338	00385e994f9c485208001e0100ca00007500003400000c0000edffffdcffffd3ffffd0ffffd3ffffd8ffffdfffffe1ffffdcffffd8ffffdfffffebffffedfffff4fffff7fffff9ffff0200000700000900000e00000e00000e00001300001800001a00001a00001800001800001a00001800001a00001c00001c00001f00002100002400002600002800002b00002800002b00002b00002d00003000002d00003000003200003000003000003000002600002100002600002b00002600002800003400003e00003e0000390000300000280000280000300000320000300000320000340000	1644406101820	69	1644406098879	40	97
1644406100833	00458e06719c485208003200003700003e00004500004a00005400008b00006b01000d03004f0400680300710000a6feff73ffff320000f0fffff0ffff1f00001000001300002b00003000003000003900003e00003e00004500005600005d00006200006e00007d00008600008d0000a10000bb0000d60000f000000f01003101004b01005f01006f01007901007901005f0100200100c700006e0000260000f7ffffd8ffffbdffffb4ffffb6ffffb8ffffb8ffffb8ffffc0ffffc9ffffceffffceffffd3ffffd8ffffdcffffe6ffffe6ffffe6ffffedfffff7fffffeffff000000f9ffff	1644406102765	69	1644406098891	45	97
1644406101463	00cc0d74929c48520800f2fffffeffff090000090000040000040000070000070000fcfffff9ffff0200000700000900000c00000700000400000700000c00000900000c00001500001a00001a00001a00001800001800001f00002d00003400003400003000002400001f00002b00002d00002800002d00003000002d00003200003c00003700002d0000370000540000a80000b301005a03003a0400c00200c0ffff82feff97ffff1f0000d5ffff0000002d00001300001c00003200002d00003400004500004a00004c00004c00004f00005b00006e00007800008100009000009c0000	1644406103756	69	1644406098902	50	97
1644406101958	00fd29e1b39c48520800b10000ce0000e400000301002c01004b01006101007901008f01009401008301004b0100fc0000a300004f0000090000daffffb8ffffa8ffffa5ffffa5ffffa8ffffafffffb6ffffbdffffc2ffffc7ffffceffffd8ffffdcffffe4fffff0fffff4fffff7fffff7fffff9ffff0400000c00000c00000900000900000700000700000c00001300001300001300001300001800001c00001f00001f00001f00002100002400002800002d00002d00002b00002d00003400003700003900003c00003900003400003900004500005100005400004c0000450000400000	1644406104749	68	1644406098914	55	97
1644406102498	00a4954ed59c485208004300004800004300003e00004500004a00004a00004a00004000003900004300004c00005800008d0000630100fc02003e04006b03008100009dfeff53ffff210000e6fffff2ffff3000002100001800002d00003000003000003c00004300004500004c0000560000600000690000750000840000920000a30000b40000cc0000e400000101002201004701006601008001009101009601009101006d0100220100cc0000780000300000000000e4ffffd8ffffd3ffffd0ffffceffffceffffd0ffffd5ffffdfffffe1ffffe4ffffedfffff2fffff7fffffeffff	1644406105829	69	1644406098925	60	97
1644406103083	005101bcf69c485208000200000700000e00001300001800001500001000001000001500001800001a00001a00001800001f00002400002100002100002400002600001f00001a00001a00001f00002100002400002600002800002b00002d00003000003000003400003400003400003700003900003c00003e00003e00004000004300004000004000004300004c00005800005b00005100004800004800004800004a00004500003e00003e00004300003e00003c00004000004500004500004c00005600007500001401009002002204000704006f0100eafeff12ffff1c0000090000	1644406106774	68	1644406098936	66	97
1644406103679	00801d29189d48520800ebffff3000003000001a00003400004300003e00004800004f00004a00004f00005b00005b00005d00006c0000750000810000950000a80000bb0000d10000ee00000d01002f01005301006d01008001008c01008f0100790100420100f00000950000480000130000f0ffffdaffffd3ffffccffffccffffd0ffffd5ffffd8ffffdfffffdfffffdfffffe6ffffedfffff4fffff7fffff9fffffcffff0400000900000e00001300001300001500001800001800001a00001500001300001a00001c00001a00001a00001a00001800001c00002100001c0000210000	1644406107763	68	1644406098948	71	97
1644406104211	006d6196399d485208002600002100002100002100001c00001500001500001a00001c00001c00002100002100001800001000001a00002600002400001f00002100002100001f00001f00002400002600002400002600002800002600001f00001f00003000003700003000003000002b00001c00001a00002100002400002600002b00002b00002b00002d00003000003000003400003e00004c00008b00008001002803004604003403003700008efeff70ffff260000e1fffff7ffff3000001a00001c0000370000320000340000430000450000480000540000560000580000670000	1644406108753	68	1644406098948	76	97
