ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644405388710	007b9e269df6475208001500001500001800001f00001f00001c00001f00002400002400002100001800001800002400002800002600002400002600002b00002b00003000003400003400003200003000003000003900003e00003900003400003700004000003c00003200003400003700003200003c00004300004000004300004800004a00004a00004a00004f00005800006000005600004f00005400004c00004000004800004c00004500004300004800004800004f00005400005100005d00008900001e01008402000e0400f90300770100e2fefff3feff0e00000e0000edffff	1644405388796	62	1644405388442	29	97
1644405389210	00cea693bef6475208003700003e00002600003900004c00004c00004f00005600006000006900006e00007800007f00008400008b0000990000a80000b40000b90000c00000df00000301001b01003f01006301007201008301009801009b01008a01005f01000f0100b100006000001a0000e4ffffc0ffffacffffa8ffffacffffafffffafffffb4ffffbbffffbdffffc0ffffc7ffffd5ffffdcffffe1ffffe8fffff0fffff7fffffefffffefffffeffff0400000200000200000c00001000000e00000e00001000001300001500001800001500001a00001f00001c00001c0000260000	1644405389744	61	1644405388453	27	97
1644405389790	0021af00e0f6475208002800001f00002600003900003900003200003400003700003000002800002100001f00002b00003200002d00002d00003200003200003700004800007a0000330100c002002204008f0300c700009ffeff1cffff130000f4fffff0ffff3200002800001800003200003e00003900004000004800004c0000540000600000670000710000780000810000920000a10000af0000c20000d80000f000000f01003301005a01007e0100980100a90100b00100ac01008701003f0100e40000860000390000040000e1ffffccffffc2ffffc0ffffc2ffffc4ffffc9ffff	1644405390821	61	1644405388464	26	97
1644405390329	00ec066e01f747520800ceffffd0ffffd5ffffe1ffffe4ffffe6fffff4fffff9fffff9fffffeffff000000fcfffff9fffff4fffff2fffff9fffff9fffff7fffff9fffff9fffff9fffff9fffffefffffeffff0000000200000200000200000700000c00000c00000c00001300001800001300001500001c00002100002100001f00002400002800002800002b00003000003200003000003200003400003400003700003900003c00004000004800004a00004800004300003c00003200003400004300004f00005100004a00004500004a00004f00004f0000540000670000b40000bc0100	1644405391771	60	1644405388476	25	97
1644405390869	00f936db22f7475208006b0300630400db0200b6ffffa4feffd3ffff320000d3ffff070000320000040000fcffff0c00001a00003400003e00004800005d00005100004500005100005d00006e00007800007500007d0000950000b60000c50000d10000f700001e01004b01007901008c0100850100770100720100610100140100a80000620000370000070000f2ffffebffffccffffbbffffc4ffffc7ffffc4ffffbdffffcefffffcfffff7ffffd8fffff0fffffeffffe1ffffe1ffff0900003200002d0000feffffedffff0c00001a00001800001f00001000001300002d00001c0000	1644405392759	60	1644405388488	25	97
1644405391410	0080b64844f747520800feffff1000002600000200001000005100003e0000100000150000130000020000feffff1500003900002400001000002400001500000e00002400001f00001f00003400002d00001a00001c00002d00003e00003900002b00003700004300003c00004500004300002800003700005100003900002400002b00002b00003900004f00005600004f0000400000670000250100950200110400f903005c0100e7feff3bffff2b0000f2ffffe1ffff2b00001a00001000003400003200002d00004a00005600004c00004f00004a00004800005d00008400009e0000	1644405393798	61	1644405388489	24	97
1644405391995	00b1d2b565f747520800970000890000990000b60000bb0000b40000dd00002001004701005501006b01008701009101008a01007901003d0100d10000810000580000180000ebffffe8ffffc2ffffacffffd3ffffe1ffffd3ffffc9ffffc0ffffd0ffff0000000c0000f0ffffe1ffffdfffffe1ffff0400001a0000f0ffffdfffff1000003400002b00001a0000100000020000f4ffff1500003c00002d00000e00001000002100001a00001f00003200002100001800002400001000000c00003e00004f00002800001c00002b00002800003000004000003400002b00003c00003c0000	1644405394739	62	1644405388498	23	97
1644405392535	00583e2387f7475208002600003c00006900005600003200003c00004000003200002d00002d00002600001f00001f0000280000560000810000d80000050200ae03001d04000e020034ffffb0feffd0ffff000000bbffff0400003c00001f00001c00004000004300003200003e00005400004c00004000005b00008900008900007800008b0000a30000aa0000b60000c70000e200000a0100330100530100720100870100960100a90100b80100a00100550100f20000950000480000090000d5ffffb6ffffafffffbdffffc2ffffbbffffc2ffffccffffc9ffffc9ffffd0ffffd8ffff	1644405395772	62	1644405388509	22	97
1644405393122	00ad4690a8f747520800dfffffe6fffff0fffffcfffffefffff4fffff4fffffeffff0200000200000900000c00000900000900000c00000900000900000c00000e00001300001800001300001000001a00002b00003400003000002800002400002600002800002800002800002d00002d0000280000300000340000320000320000370000540000fc00007f0200070400cb0300270100b2feffeafefff4ffffe4ffffccffff150000150000feffff1500002600002100002b00003c00004300004500004c00005600005d00006900007800008600009200009e0000af0000cc0000ee0000	1644405396760	63	1644405388521	22	97
1644405393796	00789efdc9f7475208000d01002c01005001007201008a01009b01009d01008c0100570100010100a100004f00000e0000e1ffffc4ffffb8ffffb6ffffb6ffffbbffffbbffffbdffffc4ffffccffffd3ffffdaffffdcffffdfffffe6fffff2fffff9fffffcfffffeffff0000000200000900000c00000e00000e00000c00000c00001300001800001500001000001300001c00001f00001c00001f00001f00001f00002600002b00002d00002d00002b00002d00003200003700003900003700003400003400003900003e00003e00003e00004000004000004500004300003e0000400000	1644405397752	64	1644405388532	21	97
1644405394289	0085ce6aebf7475208004300004300004300004300004a00005600005800005400004f00004a00004a00004f00004a00004300004800004c00004a00004800004a00004c00005400006000008d0000530100df0200370400910300a5000098feff43ffff180000d8ffffdaffff1c00000e00000400002100002600002600003400003c00003e00004800005100005b00006200006c0000750000840000920000a10000b40000ca0000e200000101002001004201006101007901008701009401008c0100680100270100d300007f0000390000090000ebffffd8ffffceffffceffffd0ffff	1644405398740	63	1644405388543	20	97
1644405394788	0094fed70cf847520800d3ffffdaffffe1ffffe1ffffe4ffffedfffff2fffff4fffff9fffffcffff0000000400000900000c00000900000200000000000000000000000400000700000700000900000e00000e00001300001300001000001500001a00001c00001c00002100002400002600002800002800002b00002d00003000003200003200003400003900003700003900003e00003c00003c00003e00004000004300004300003e00003e0000400000400000450000480000480000480000480000450000450000480000480000450000480000450000430000430000450000430000	1644405399779	62	1644405388555	19	97
1644405395381	0007f3442ef8475208004000004000004300004500004500003e00003700003400003700003400003000003400003400003200003700003c00003700003700003c00003e00004300004500004500004500004300004500004a00004f00005100005400006200006700005b00005400005100004500004000004c00005100004f00004f00004f00004c00005100005400006000007f00000301005e0200fb0300260400cd010012fffff3feff130000180000e4ffff2800003700001f00003000004500004500004800004f00005400005d00006500006700007100007a00008400008d0000	1644405400771	61	1644405388566	19	97
1644405395911	00b05eb24ff847520800990000a80000b40000b90000ce0000ee00000d01002f01005001005f01006d01008501008f01008001005f01001e0100c200007100002b0000f9ffffdfffffccffffc0ffffbdffffc4ffffccffffceffffd3ffffd8ffffd8ffffdcffffe6ffffe6ffffe4ffffebfffff2fffff2fffff7fffffcfffff4fffff2fffffeffff000000fefffffcfffff7fffffeffff0700000400000000000200000900000c00000c00000c00001000001500001800001500001a00001c00001c00001a00001f0000240000240000240000210000210000260000260000240000280000	1644405401757	61	1644405388579	18	97
1644405396496	0003671f71f8475208002d00002b00002b00003000003700003700003000002600002800003200003400003700003700003400003900003e00003e00003e00004300004500004500004800005100005800005b00005d00005800005100004f00004800004000004500004c00004c00004c00004c00004f0000510000540000580000600000780000df0000130200bd03004604005902006bffffbefeffe8ffff320000f0ffff2b00004a00002b00003700004a00004300004500005400005600004f00005400006000006900006c00007100007f0000890000950000a80000bd0000d80000	1644405402747	60	1644405388581	17	97
1644405397081	00cebe8c92f847520800f200000f01002f01005301007401008c01009d0100a00100940100680100190100c000006e0000260000f0ffffd0ffffc0ffffb1ffffafffffb4ffffb6ffffbbffffc0ffffc7ffffccffffd3ffffdaffffe4ffffe8fffff0fffff7fffffcffff0200000700000700000c00001300001300001000001300001300001800001a00001800001800001a00001c00001f00002100001f00001a00001f00002400002400001c00001f00002100002400002600002800002b00002b00002b00003200003400003400003700003900003700003900003e0000400000400000	1644405403739	60	1644405388592	16	97
1644405397627	00dbeef9b3f8475208004300004000004000004500004800004800004800004a00004800004800004a00004f00004a00003e00003e00004500004800004800004a00004c00005400005b00006500006900005d00005100004f00004c00004a00004f00005400004f00004f00005100005400005800005b00005d0000710000d80000000200a503004f04007f02007fffffb0feffd3ffff1a0000ccffff0000002600000c00001a00003200002d00003000004000004500004a00005100005800006000006900007500007f00008b0000970000a80000bb0000d10000eb00000d01002c0100	1644405404772	60	1644405388602	15	97
1644405398206	00ea1e67d5f8475208004701006601008301009101009b0100940100720100330100df0000860000340000f9ffffdaffffccffffc2ffffc0ffffc0ffffc0ffffc7ffffceffffd3ffffd8ffffdcffffe1ffffe8fffff0fffff4fffff7fffffcffff0000000400000700000700000900000c00000e00001000001300001300001000000e00001000001500001500001800001a00001c00001f00001f00001f00002400002600002400002600002b00002d00002b00002d00003000003200003400003700003900003c00003900003900003c00003c00003e00003e0000400000400000400000	1644405405852	60	1644405388613	15	97
1644405398703	005d13d4f6f8475208004300004500004500004800004800004800004800004a00004a00004a00004c00004c00004c00004500003e00004500004a00004500004800004c00004a00004c00005400005400005b00006200005600004c00004f00004a00004500004800004a00004800004800004a00004a00004c00005100005800006700009e00007901000f03004f04007403007d0000a9feff7affff3c0000f7ffff0000003e00002b00002100003900003e00004000004c00005100005100005800006000006200006c00007800007d00008100009200009e0000a80000bd0000d60000	1644405406751	60	1644405388624	14	97
