ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644426557971	003cb8d26242445208002f0100420100490100380100190100ff0000d900009100004c0000170000f9ffffddffffc0ffffbbffffcaffffcaffffd1ffffddffffd8ffffe1ffff0700001000000200000000000000000000000200000200000900001700001500000900000b00000700000400001f00001a0000feffff1c00004a00003e00002100001300000e00000700000200001500002a00001500000b00002600003600006900005f01002703007a04007303002f000038feff25fffffeffffc5fffff2ffff170000caffffb2ffffe1ffff0200001000001f0000260000260000320000	1644426558688	92	1644426557798	35	95
1644426558653	00b3ac3f8442445208004500005800006900007700008a0000ab0000d90000ff00001901001c0100040100f10000ec0000cd00009100004a0000040000d6ffffb9ffffabffff9fffff8effff87ffff90ffffa6ffffbbffffc2ffffc7ffffddfffff9ffff0200000700000700000000000b00002300002100000700000700002100002a00001700000900000e00001700002d00004c00004700002800001c00000e0000f7fffff5ffff1500002600001c00002a0000470000770000400100e60200670400b40300610000e5fdffabfeffceffff93ffff9fffff000000f9fffff7ffff280000	1644426559679	93	1644426557806	33	95
1644426559232	0026a1aca542445208002f00002300003e00005500005500005500005f00007700009100009b0000a70000d200000901002a01003401003b0100400100310100120100e70000b000007c0000450000100000ddffffb4ffffadffffb2ffffbbffffd1ffffd3ffffccffffd3ffffddffffe4ffffe4ffffdffffff0ffff1000001a00000e0000170000170000fcfffff0fffffeffff1300001f00001c00001a00002100001a00000900000200001500003600003400001a00001300001a00001500001000001500001700001300000e0000210000420000cf00004b02001104003504007b0100	1644426560669	94	1644426557818	32	95
1644426559682	00fd5919c742445208004efeff34feff95ffff97ffff55ffffcaffff020000e6fffff9ffff0b0000f2fffff2ffff0900002100003900003e0000390000420000550000750000960000b30000cf0000f30000060100100100150100090100f10000cd0000960000580000260000070000edffffdaffffcaffffb9ffffa8ffffafffffd8fffff7fffff5fffff2ffffedffffe1fffff0ffff020000000000feffff000000000000fcffff000000020000feffff0400001000001a00001a0000020000f9ffff0e00001f0000130000fefffff0fffff0ffffedffffe9fffff0fffffeffff040000	1644426561704	95	1644426557830	31	95
1644426560271	004e6286e842445208000e00002100002d00004a0000f100009c02008104007004005f010055feff80feffc0ffffb2ffff90ffffe1ffffedffffebffff090000040000f5ffff1300003400004200004c00005500006100007700008a0000a00000ba0000cf0000f300003601005701004701004201003b0100150100de0000910000420000150000100000feffffd8ffffbbffffb4ffffc2ffffdaffffe1ffffdaffffddffffe1ffffdffffff5ffff1f0000150000f0fffff9ffff100000040000f0fffff5ffff020000070000070000fcffffe9ffffedfffff5ffffe9ffffe9ffff000000	1644426562696	94	1644426557842	30	95
1644426560806	004907f30943445208001300001a00001700001700001a00000b0000f5fffff0fffff2fffff2ffffedfffff0fffff9fffffcfffffcfffff9fffffcffff530000850100540300780400350300b4ffffd2fdfffffeffd8ffff80ffffa6fffff0ffffd3ffffe1ffff1700001c00001a00002800002a00004000005500005300006d00009d0000c10000e20000f30000fa00000401001701002301001e01001e0100170100f10000c60000980000580000fcffffb4ffffccfffff9ffffe6ffffb2ffff90ffff97ffffbbffffdaffffe1ffffd6ffffceffffe1ffffedffffceffffdaffff100000	1644426563684	94	1644426557852	30	95
1644426561349	00f072602b4344520800fcffffc7ffffd6fffff2fffffeffff0e0000040000f5fffff9fffff2ffffddffffebffff0b00001000000700000b0000150000150000100000040000fcfffff7ffff0400001500001700001000000900001000002300003b00007c00007b01004d0300a004007f030010000019feff1bffffebffff9cffffbeffff0e0000fefffff5ffff0700000900001500003200003900002a00003200006100008800008a00008c00009d0000b00000f300004401005001004701004901003801002101000b0100e50000a700005f0000320000230000020000daffffdfffff	1644426564675	93	1644426557874	30	95
1644426561934	006767cd4c4344520800f0ffffd6ffffc0ffffe1fffffeffffebffffdaffffe1fffff0fffff5fffff0ffffedfffff9ffff0700000b0000070000fefffffeffff0000000e00001700000b00001000002a00001f00000000000e0000210000070000feffff1700001300000700001c00002300001500002100002600001700001700001c00001300000400001500003e00003e0000210000260000470000720000ff00008702006e0400970400c10100a1feff98feffddffffe4ffffc0ffff0e00001c00000000000e00001c00001000001a00004700006400006600007200007e00007e0000	1644426565666	93	1644426557875	30	95
1644426562523	00da5b3a6e43445208008f0000ae0000bf0000d200000601003b01004701004401004201003401001e0100f60000b70000790000400000130000f9ffffddffffc0ffffc0ffffd3ffffdaffffceffffceffffe9fffff7fffff5fffffeffff0400000900001000000b0000f9fffff7fffffefffff9ffffebffffebfffff2fffff5fffff0ffffedfffffeffff0b0000f9ffffe1ffffe1ffffe4ffffe6fffffcffff0700000400000e00001f00003e0000d900005702000a0400350400a60100a4feff8cfeffd8ffffdaffffafffff090000100000f0ffff1000002a00002800002d00003b0000	1644426566698	93	1644426557878	30	95
1644426563058	004d50a78f43445208004200004c00005a00006d00007e0000940000b70000cd0000db00000401002101001e01001e0100210100090100de0000a70000660000260000ebffffc2ffffa6ffff95ffff97ffff97ffff87ffff89ffffa6ffffb6ffffb6ffffbeffffc5ffffb9ffffb6ffffd6fffff7fffffefffff7fffff5fffff9ffff000000020000000000f5fffff0fffff5fffff9fffffcffff0900001c0000230000090000f2fffffeffff0400000000001000001a00001000000e00001f00003e00007e0000530100030300970400f40300a0000044feff1bffff100000b4ffffc7ffff	1644426567689	92	1644426557897	30	95
