ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644406784429	004ec9a19c3b49520800a80000bb0000d10000ee00000f01002f01004e01006801007701007b01008001006f0100360100e400008d00003e0000070000e1ffffc9ffffbbffffb6ffffb8ffffbbffffbdffffc4ffffc9ffffccffffd3ffffdcffffdcffffdcffffe1ffffe8fffff0fffff7fffffcfffffeffff0200000400000c00001000001300001300001500001500001500001800001a00001a00001800001300001500001800001500001500001800001a00001c00001f00002400002600002600002400002400002800002d00002d0000300000320000320000370000390000370000	1644406784741	64	1644406784229	67	96
1644406785016	00d5480fbe3b495208003900003e00004000003e00003900003c00004000004800004a00004300003c00003900003e00004000003900003c00004300004300004500004a00004c00004c00005100007100000f01008402000c0400e50300570100eefeff28ffff210000070000f0ffff3200002b00001800003200003e00003c00004500004a00004800004f00005d00006500006700007100008100009000009c0000aa0000c00000d60000f000001201003101005001006d01007e01008f01009601007b01003f0100eb00009000004300000e0000ebffffd0ffffc0ffffbbffffc2ffff	1644406785733	64	1644406784241	66	96
1644406785557	0028517cdf3b49520800c9ffffc9ffffc7ffffccffffd5ffffdaffffd8ffffe1ffffe8ffffdfffffdcffffebfffff0fffff0fffff7fffff7fffffcffff0400000700000000000400000900000700000700000c00000e00001300001500001500001500001a00001500001300001300001000000c00001000001c00002600001f00001300001000001500001800001300001000001500001800001800001c0000240000260000280000340000510000c20000fb0100960300ed0300d0010015ffffb5feffd8ffff090000d8ffff1800002b00001300002600003c00003700003e00004c0000	1644406786730	64	1644406784252	66	96
1644406786141	00b1d0e9003c495208005100005600006000006700006e00007500007a0000840000990000ad0000c20000da0000fa00001e01004201006101008001009b0100a40100a20100850100470100eb0000900000400000070000e1ffffc7ffffc0ffffc0ffffc0ffffc4ffffc9ffffceffffd5ffffdaffffdcffffe4ffffedfffff4fffff9ffff0000000700000c00001300001800001a00001c00001f00002400002400002400002400002400002600002800002800002b00002d00002d00003000003400003400003400003900003900003900003900003900003900003e00003e00003e0000	1644406787760	64	1644406784264	65	96
1644406786728	00385057223c495208004300004300004300004300004500004300004300004300004300003c00003200003400004300004a00004500003c00003700003400003700003200002800002b00003000003000003200003700003900003e0000450000580000b40000d701007c03002b040076020097ffffc8feffd8ffff240000dcffff0c00003200001a00002400003700003700003c00004a00004f00005400005b00006200006c00007800008100008b0000970000a80000bb0000cc0000e600000601002501004201006101007701008501008a01007b01005301000d0100b60000670000	1644406788746	64	1644406784274	65	96
1644406787267	00bfcfc4433c495208002b0000feffffe4ffffd8ffffd3ffffd0ffffd3ffffd5ffffdaffffe4ffffe8ffffe6ffffd8ffffd3ffffdfffffebfffff0fffff0fffff0fffff4fffffcffff0200000400000900000900000900000e00001300001500001500001800001500001a00001f00001f00001f00002100002100002600002800002800002b00002d00002d00003000003200003200003400003700003400003200003700003900003900003700003e00004a00005100004a00003e00003900003e00004000003900003200003700003900003200003400003c00003c00003e0000450000	1644406789739	65	1644406784275	64	96
1644406787808	00464f32653c495208006900000a0100730200ed0300c403003b0100d6feff10ffff0c0000e8ffffc0ffff0200000c0000fcffff1300002400002100002b00003200003900004000004800004f00005b0000650000710000860000970000a50000b90000d10000e900000a01002f01005001006801007b01008a01008701006b01002c0100d10000730000320000020000d8ffffc2ffffc0ffffbdffffbdffffc0ffffc2ffffc7ffffceffffd5ffffd5ffffdcffffe4ffffe6ffffe8fffff2fffff9fffff9fffff9ffff0200000400000700000c00000700000700000e0000070000000000	1644406790726	65	1644406784286	64	96
1644406788434	00cdce9f863c495208000400000200000200000c00000900000700000c0000040000feffff0900001000000c00000e00001300001800001a00001c00002100002100001c00002600003c00003e00003200002d00002d00003000003400003200003200003700003700003400003400003700003e00004500004f00006c0000dd0000130200a90300f20300d4010028ffffcffeffe1ffff090000dcffff1c00003400001c00002d00003c00003900004300004f00005400005d00006700006900007300007f00008400008900009c0000af0000c20000df0000fc00001901003b01005f0100	1644406791726	65	1644406784297	63	96
1644406789020	00544e0da83c495208007b0100910100a001009b01007e0100470100f200009500004800000e0000e8ffffd3ffffccffffc9ffffc9ffffc7ffffc0ffffc0ffffceffffd8ffffdaffffdfffffe4ffffe8fffff0fffff9ffff0000000400000900000e00001300001500001800001800001800001c00001c00001f00002100002100001f00002100002600002800002b00002b00002b00003000003400003400003400003700003400003700003900003700003000002b00002d00003400003700003900003c00003c00003900003e00004300004300004000003c0000430000510000580000	1644406792751	65	1644406784308	63	96
1644406789515	0001ba7ac93c495208005100004800003e00003900003900003c00003900003c00004000003e00003c00004300004a00004c00004f00005d0000bd0000e301008503002404005b020081ffffc1feffd5ffff1f0000daffff0900002600001000002100003700003200003700004300004a00005100005b00006200006900007300007d0000890000970000a80000b90000ce0000e600000301002201003f01005301006601007b01008001007201004b0100030100aa00005b0000210000f0ffffd3ffffc9ffffc4ffffc2ffffc7ffffc9ffffccffffd0ffffdaffffdfffffe1ffffe4ffff	1644406793740	65	1644406784320	62	96
