ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644313015588	0073603b590447520800e50e00e91900921e00c021001b2600e42800bd2a00f32c00c82e001a30006b3100b03200b733008d34005a3500133600ad3600393700b937003638000a39008b3a004b3c00183d00bd3b00493800303600ee3700f83900f13900de3900393a00293a00fb3900043a00fd3900e83900e33900d039009f39007e39006d3900493900293900183900ef3800bf3800ac38009638007238004e3800203800e23700993700283700b53600433600a23500e634005a3400e43300653300043300ab32003c3200de31009131003f3100fc3000aa3000403000e52f009f2f00	1644313015193	67	1644313014950	61	100
1644313016169	00de44a17a04475208004a2f00f12e00a22e004d2e00ed2d00882d00362d00e92c00a32c004f2c00c82b00572b00112b00b32a00552a00032a00882900152900ca28007d2800212800c82700652700072700ac2600492600ee2500a125004f2500e724008924003a2400e023008323003d2300ed2200882200342200e721008921003c2100f620009d20004d20000020009d1f004e1f000f1f00bb1e00671e00171e00cc1d00821d00351d00ec1c00a61c00521c00fe1b00ba1b007e1b00381b00ee1a00a11a005d1a00391a001e1a00d61900631900051900bf18007218002c1800fc1700	1644313016216	68	1644313014971	59	100
1644313016707	004929079c0447520800bf1700701700361700fc1600ad16007516004a1600041600c31500e51500e41600791800181900311700e41200281000a411007313004013001013002d1300e01200a112009312006c1200321200071200ea1100c311008c11006111004611002c1100161100001100e31000da1000df1000c61000a510009110007e10005a1000171000be0f00540f00d60e00540e00d20d00610d000f0d00d00c00990c00690c00400c002d0c001e0c00e40b00950b007a0b00820b00690b00400b001f0b000b0b00f80a00cd0a00a60a009a0a00890a00630a003a0a001d0a00	1644313017191	68	1644313014975	57	100
1644313017243	00b40d6dbd0447520800050a00ea0900ce0900ac09008a09006809004709002709000f0900fc0800da0800a808008d08008d08007f08005108002d0800230800120800f50700e00700c80700b20700a607009707007107004a07004a07004807002d07001a0700fb0600d00600bf0600c30600b70600a206008e06007906005c06004606005c0600760600590600240600050600eb0500df0500dc0500bd05008f05008105008f05009405007205005505005805004c05004e0500080600cc07008c0900720900110600aa0100690100ec03007504002d0400b90400c004005b04007a0400	1644313018214	68	1644313014978	55	100
1644313017829	001ff2d2de0447520800a304008904007504007f04008d04008404006c04006904008d0400a304008d0400890400c704000b0500120500080500380500640500490500250500fc0400aa04002804008e0300260300e102009802006302004202002c02002702002a02002202001d02002202002002002002002502002702001402002202004202003802003802003d02002a02002502003d02004202001d02001602002002000d0200fe0100010200f70100eb0100f90100010200e10100b60100c00100eb0100d50100af0100c00100bd0100b40100bd0100bb0100c20100a50100880100	1644313019189	66	1644313014985	54	100
1644313018365	008ad638000547520800b60100c001009b0100ce0100eb0100ac01009401009901009901007c01004501004c01008801008d01005a01003b01005f01008301006b0100660100250200fa0300810500aa040056010059feffd6feffd300003b01001701007201008d01006901007a01009901008f01008d0100970100990100a30100b40100bb0100c70100eb0100050200140200380200660200850200a20200c10200d00200ba02009102005f02000a02009901002d0100d600009c00006c00004100003400003c00003e00003c00003e00004300004a00004d00004d0000540000600000	1644313020215	66	1644313014988	52	100
1644313018951	00f5ba9e2105475208006200006200006700006c00007a00008200007600007100007a00007600007100007800007d00007600006e00006500005d00006900007300007100006e00005b00004d00006000007100007100007100007800008600008600006500005900007300007800006500006900007600006e00007600008400007300004f00005400007800008200007d00008e00009a00009000008900007100005900006c00008400007d00007800007d00008600008b00008200008b0000e90000330200600400920500870300f8fefffbfcff2affff9200000c00003c0000b20000	1644313021241	66	1644313014995	50	100
1644313019540	00609f044305475208007f00006500009e0000af00009c0000a10000b20000bb0000c70000d30000d10000d30000ff00002801004201006e01009e0100a50100af0100e80100010200e10100bb01008d0100450100d80000540000020000f7ffffceffff9effffa7ffffb6ffffb3ffffbbffffd0ffffc9ffffa0ffffa7ffffceffffd0ffffceffffe4ffffebffffe8ffffe6ffffdfffffe8fffff9fffff9fffff9ffff090000000000edfffffeffff000000f0ffffebffffedffff0000000e0000f9fffff0ffff0700000c0000fcfffff7fffff9fffff7fffff9ffff000000000000000000	1644313022211	66	1644313015008	49	100
1644313020071	0001fb6a640547520800000000feffff0000000000000000000000000200000700000700000c00000e00001000000e0000fefffff9ffff0200000700000700000700000700000900000700000c00001500001800001000000e00001300001300000900000e00002400003c00004f00004800003000001f00001300000900001000001a00001a00001c00002400003000002d00002600001a00001a0000a60000140200cf0300840400500200dbfdff70fcff0bffff620000daffff0900006200003900003900006200006000005900006e00007a00007300007f00009a0000ab0000be0000	1644313023284	66	1644313015018	47	100
1644313020611	006cdfd0850547520800d60000f800001c01002f0100450100700100920100a00100a701009401006401002d0100ee0000920000390000f9ffffc2ffffa0ffff92ffff83ffff7effff81ffff86ffff8fffff8fffff8affff8fffffa3ffffa5ffffa5ffffb8ffffc7ffffc7ffffc9ffffd0ffffceffffccffffc7ffffc9ffffd5ffffdfffffd8ffffceffffd0ffffd5ffffd0ffffd3ffffd3ffffd0ffffd5ffffdcffffdaffffd5ffffd3ffffd3ffffd5ffffd5ffffd5ffffd8ffffdaffffd8ffffd8ffffdfffffe4ffffe1ffffdfffffe1ffffe6ffffe6ffffe6ffffe4ffffe4ffffe8ffff	1644313024259	66	1644313015029	45	100
1644313021239	00d7c336a70547520800ebffffedfffff0fffff4fffff9fffff4ffffe6ffffdcffffdcffffe1ffffebffffebffffedfffff2fffff4fffff4ffffe8ffffdfffffedffff0c0000280000340000240000070000fcfffffcffffedffffebfffff4fffff2fffff4fffff9fffff9fffffeffff040000020000180000a10000ed0100800300040400c7010082fdff50fcffeefeff430000d3ffff0400005b00002d00002100004800004800004300005400005b00006500007a00008200008400009a0000b40000cf0000ec00000d01003101005301006e01008101008b01008101005f01002a0100	1644313025234	65	1644313015041	44	100
1644313021775	0042a89cc80547520800e000008e00003e0000f0ffffbbffff9effff86ffff75ffff72ffff6effff64ffff64ffff70ffff7cffff88ffff86ffff7affff83ffff92ffff8fffff8dffff97ffff9effffa3ffffa7ffffb3ffffb8ffffafffffaaffffacffffafffffacffffafffffb1ffffacffffaaffffb1ffffb6ffffb3ffffb8ffffbdffffb8ffffb8ffffc2ffffc2ffffbfffffc7ffffc7ffffbfffffc2ffffd0ffffccffffc4ffffceffffceffffc9ffffdfffffe1ffffd3ffffd8ffffdfffffdaffffdcffffdcffffdcffffe1ffffe4ffffe4ffffe6ffffebffffedfffff0fffff4ffff	1644313026209	65	1644313015051	42	100
1644313022311	00ad8c02ea0547520800f2ffffebffffdfffffdcffffe8ffffe8ffffdaffffd5ffffe6fffffeffff150000280000210000f7ffffe1ffffebffffdaffffccffffdfffffe8ffffdfffffdfffffebfffff0fffff0fffff0fffff4ffff3e0000450100e30200f30300ed020028ffff2ffcffa4fdffedfffff2ffffccffff3000002800000e00003200003900002b00003400003e0000410000540000690000760000890000a80000b90000c70000e700001201003d01005301005601006401006601004e0100230100e40000970000450000f9ffffb6ffff7effff5dffff4effff45ffff47ffff	1644313027234	63	1644313015055	41	100
1644313022895	001871680b064752080051ffff51ffff49ffff51ffff62ffff70ffff77ffff7cffff81ffff81ffff7cffff83ffff8fffff92ffff97ffff9effffa3ffffa0ffff9effffa0ffffa7ffffaaffffaaffffa7ffffa7ffffafffffafffffafffffb3ffffb3ffffb3ffffb8ffffbdffffbbffffb6ffffb6ffffbfffffc4ffffc2ffffbfffffc2ffffc7ffffc9ffffc7ffffccffffd0ffffd3ffffd5ffffd5ffffdcffffdfffffdcffffd5ffffdcffffe1ffffdcffffdfffffe4ffffe1ffffe1ffffe1ffffdaffffdcffffe4ffffe6ffffdfffffdcffffdaffffd3ffffd0ffffd8fffff0ffff100000	1644313028210	63	1644313015062	40	100
1644313023432	008355ce2c0647520800240000210000090000f0ffffedffffe8ffffdaffffdcffffe8ffffebffffe8ffffedffffedffffdfffffd3ffffe1ffff320000340100c40200c10300ba020006ffff14fcff82fdffd5ffffdfffffb3ffff1c00002600000900001800001300001000001f00002b0000370000450000510000620000760000840000970000b40000d80000f800001701003b01004c01005301005601003d0100120100db00008900002b0000dfffffa7ffff77ffff55ffff49ffff42ffff40ffff4cffff4effff51ffff5dffff64ffff6bffff77ffff81ffff8affff92ffff92ffff	1644313029281	63	1644313015078	39	100
1644313024019	00ee39344e064752080094ffff9effffa3ffffa5ffffacffffaaffffa5ffffaaffffafffffaaffff97ffff92ffff9effffa0ffffa3ffffa3ffff9effff9bffffa3ffffacffffb1ffffacffffacffffb1ffffb6ffffb8ffffbbffffbfffffbfffffbbffffc4ffffccffffc7ffffc9ffffd0ffffd0ffffceffffccffffccffffd0ffffd5ffffd0ffffd0ffffd8ffffd8ffffd3ffffd3ffffccffffc9ffffceffffceffffceffffd3ffffd3ffffc9ffffc7ffffd0ffffceffffceffffe1fffff7ffff0c0000150000000000e6ffffdcffffd0ffffc9ffffd5ffffdcffffdfffffdcffffdfffff	1644313030207	63	1644313015084	38	100
1644313024555	00591e9a6f0647520800dcffffdcffffdfffffe8ffff4100005f0100f40200bc03004602006cfefffefbffd6fdffe8ffffb8ffffacffff1f0000090000e4ffff0200000c0000fcffff0400001f00002600002d00003e00004d00006000007a0000900000ad0000d10000f500001901003401004a0100560100510100390100080100c30000710000210000dcffff99ffff62ffff4cffff42ffff36ffff36ffff40ffff45ffff42ffff49ffff5dffff64ffff6effff7affff7cffff83ffff8dffff92ffff97ffff94ffff97ffff9effff9effffa0ffffa3ffffa5ffffa5ffffa0ffff99ffff	1644313031231	63	1644313015107	37	100
1644313025090	00c402009106475208009bffffa3ffffa5ffffa0ffffa3ffffafffffafffffa5ffffa7ffffaaffff99ffff9bffffacffffaaffffa7ffffacffffacffffafffffb8ffffbbffffbbffffbdffffbfffffbdffffbfffffc7ffffc7ffffc4ffffc4ffffccffffd0ffffc9ffffb8ffffb8ffffc2ffffc7ffffc4ffffc4ffffc2ffffc2ffffbfffffbfffffc9ffffdffffff9ffff090000070000edffffdaffffd8ffffccffffccffffdfffffe1ffffd5ffffd5ffffe1ffffe1ffffdfffffe6ffff1f0000120100d002000e040022030053fffff0fbff0cfdff81ffffb8ffffa3ffff1500000e0000	1644313032205	62	1644313015110	36	100
1644313025674	002fe765b20647520800ebffff1300001f00001500002800003200002600002600003400004500005600006e00008b0000a30000c30000ee00001501003401005801007201006901004a0100250100ee00009200002b0000d3ffff8affff58ffff3bffff31ffff25ffff19ffff1effff28ffff2dffff36ffff45ffff53ffff5affff62ffff6bffff77ffff86ffff8affff8affff92ffff97ffff9bffffa3ffffa5ffffa0ffffa0ffffa0ffff9bffff99ffffa3ffffa0ffff99ffff9effffa5ffffa5ffffa3ffffa5ffffaaffffa7ffffa7ffffb6ffffbdffffb6ffffafffffb6ffffbfffff	1644313033229	62	1644313015121	35	100
1644313026211	00d042ccd30647520800c2ffffbfffffbfffffbdffffbfffffc7ffffc2ffffbfffffc4ffffc2ffffb6ffffb6ffffbfffffbdffffb6ffffb3ffffacffffa5ffffa0ffffb1ffffd0ffffebfffff7ffffe6ffffc2ffffb6ffffb8ffffbdffffbfffffc4ffffccffffceffffceffffd3ffffd3ffffd0ffffe1ffff650000c901006a0300e20300ac01006afdfff7fbff71feffedffff97ffffceffff240000f9fffff2ffff1800001000000c00002400002d00002b00003c00005400006500007600008e0000a80000c50000e400001201004001005601005a01006401005f0100390100010100	1644313034203	61	1644313015130	34	100
